"","prop_canal","ships","sumports","sumlocks"
"Seine_100000752",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_100000753",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_100000754",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_100000755",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_100000805",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_100000807",-0.295221219783642,-0.774612983872926,-0.5615262,1.186359
"Seine_100000813",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_100000814",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_100000837",0.834808741485963,-0.818246968518719,-0.5615262,-0.4940378
"Seine_100000839",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_100000840",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_100000893",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_100000894",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_100000897",-0.564072654431226,-0.825957097350422,-0.5615262,-0.4940378
"Seine_100000901",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_100000941",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_100000942",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_100000949",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_100000950",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_100000955",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_100000958",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_100000959",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_100000962",-0.960411962676187,-0.765835521099506,-0.5615262,0.3461604
"Seine_100000963",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_100000964",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090000039",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000040",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000048",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000049",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000053",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000055",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000059",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000062",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000064",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000069",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000073",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000076",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000081",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090000888",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000890",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000893",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000894",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000900",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000902",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000904",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000905",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000920",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000922",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000926",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000928",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000934",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000935",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000938",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000939",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000946",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000947",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000952",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000955",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000957",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000958",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000965",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000967",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000969",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000970",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090000976",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090000981",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090001125",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001127",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001128",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001129",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001141",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001143",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001144",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001145",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001150",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001153",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001165",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001167",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001168",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001172",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001173",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001176",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001177",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001178",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001183",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001184",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001185",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001189",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001192",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001193",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001199",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001202",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001205",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001207",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001210",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001214",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001216",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001219",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001220",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001225",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001230",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001232",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001233",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001236",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001238",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001240",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001243",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001247",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001250",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001253",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001255",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001256",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001257",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001258",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001265",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001266",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001270",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001274",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001275",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001280",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001282",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001284",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001287",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001295",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001296",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001301",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001544",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001550",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001558",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001562",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001570",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001576",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001582",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001588",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001590",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001600",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001611",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001617",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001625",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001668",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090001670",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090001681",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090001683",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090001695",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090001704",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090001705",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090001747",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001752",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090001754",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001796",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090001801",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090001807",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090001809",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001810",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090001812",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001876",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090001877",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090001880",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090001884",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090001885",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090001887",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001890",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001895",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001940",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090001991",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090001995",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090001998",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090001999",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090002000",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090002009",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002115",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_10090002132",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090002136",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090002146",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090002192",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090002196",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090002203",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090002207",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090002209",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090002325",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_10090002328",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090002336",-0.295221219783642,-0.774612983872926,-0.5615262,1.186359
"Seine_10090002338",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090002355",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090002361",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002372",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002379",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090002385",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090002386",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090002398",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090002401",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090002416",-0.564072654431226,-0.825957097350422,-0.5615262,-0.4940378
"Seine_10090002426",-0.960411962676187,-0.765835521099506,-0.5615262,0.3461604
"Seine_10090002431",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090002448",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002465",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090002471",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090002483",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090002503",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090002504",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090002505",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090002508",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090002515",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090002554",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002567",-0.295221219783642,-0.774612983872926,-0.5615262,1.186359
"Seine_10090002569",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_10090002570",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090002581",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090002601",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090002604",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090002605",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090002610",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090002612",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090002623",-0.564072654431226,-0.825957097350422,-0.5615262,-0.4940378
"Seine_10090002625",-0.960411962676187,-0.765835521099506,-0.5615262,0.3461604
"Seine_10090002670",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090002672",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090002673",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090002683",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002700",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090002701",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090002702",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090002703",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090002704",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090002726",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002734",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090002735",-0.295221219783642,-0.774612983872926,-0.5615262,1.186359
"Seine_10090002736",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090002738",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090002784",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_10090002786",0.222201136543254,-0.683785174423905,-0.5615262,1.186359
"Seine_10090002787",-0.147237043838466,-0.712220214963569,1.421512,1.186359
"Seine_10090002792",-0.722055686412414,-0.552260937895568,-0.5615262,0.3461604
"Seine_10090002793",-0.721234334244183,0.181718254440925,1.421512,0.3461604
"Seine_10090002794",-0.721234334244183,0.181718254440925,-0.5615262,-0.4940378
"Seine_10090002795",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090002821",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002827",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090002833",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_10090002835",-0.564072654431226,-0.825957097350422,-0.5615262,-0.4940378
"Seine_10090002844",-0.960411962676187,-0.765835521099506,-0.5615262,0.3461604
"Seine_10090002866",-0.751339719218818,-0.804845793663946,1.421512,0.3461604
"Seine_10090002867",-0.295221219783642,-0.774612983872926,-0.5615262,0.3461604
"Seine_10090002872",2.29156718517382,-0.8163145559271,-0.5615262,2.026557
"Seine_10090002873",-1.0405199274224,-0.796766318467332,-0.5615262,0.3461604
"Seine_19510000028",-0.295221219783642,-0.774612983872926,-0.5615262,1.186359
"Seine_19510000033",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000002",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000051",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000100",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000183",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000244",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000258",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000519",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000589",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000682",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000893",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990000996",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990001060",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990001219",0.834808741485963,-0.818246968518719,-0.5615262,-0.4940378
"Seine_19990001262",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990001292",0.834808741485963,-0.818246968518719,-0.5615262,-0.4940378
"Seine_19990001384",-0.386668578292536,-0.783112937026574,1.421512,0.3461604
"Seine_19990001444",0.834808741485963,-0.818246968518719,-0.5615262,-0.4940378
"Seine_41170000501",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000535",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000636",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000658",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000694",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000761",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000791",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000831",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000892",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170000952",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001025",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001048",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001134",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001147",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001180",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001332",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001365",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001461",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001532",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001634",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001710",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001807",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170001918",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170002056",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170002133",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170002443",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170002575",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_41170002709",0.206758978039039,-0.823053504678226,-0.5615262,-0.4940378
"Seine_100000748",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_100000749",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_100000750",1.88615058294388,-0.819351464532638,-0.5615262,-0.4940378
"Seine_100000806",1.61682084591091,-0.780789468271169,-0.5615262,2.026557
"Seine_100000808",1.61682084591091,-0.780789468271169,-0.5615262,-0.4940378
