"study","station.x","operatn","year","X_WGS84","Y_WGS84","Tax_Div","Tax_Even","Tax_Rich","Abundance","i_ab","prop_i","logab","logabI","Strahler","Catchment6_size","Ships","Locks","Ports","local","Channelization","Agriculture_new","Urban_new","fric_new","feve_new","fdiv_new","Rip_Deg","ports_5k","locks_5k"
"Rhine_HLN","Rhine_HLN_12460","Rhine_HLN_12460_2009",2009,7.861357776,49.99565589,1.759430744,0.195492305,9,380,349,0.918421053,5.940171253,5.855071922,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.630173652,-1.409524804,-0.606584586,-1.568653004,0.305564821,0.447946,0.896860349,0.630173652,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12460","Rhine_HLN_12460_2012",2012,7.861357776,49.99565589,5.401925391,0.771703627,7,67,2,0.029850746,4.204692619,0.693147181,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.630173652,-1.409524804,-0.606584586,-1.568653004,0.079990088,0.653114,0.657678571,0.630173652,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12460","Rhine_HLN_12460_2015",2015,7.861357776,49.99565589,1.791744104,0.199082678,9,370,270,0.72972973,5.913503006,5.598421959,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.630173652,-1.409524804,-0.606584586,-1.568653004,0.38489519,0.389486,0.7634908,0.630173652,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12460","Rhine_HLN_12460_2021",2021,7.861357776,49.99565589,4.594936709,0.574367089,8,66,30,0.454545455,4.189654742,3.401197382,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.630173652,-1.409524804,-0.606584586,-1.568653004,0.420436505,0.685658,0.919478926,0.630173652,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12461","Rhine_HLN_12461_2009",2009,7.810822313,50.0361053,2.20247061,0.183539217,12,438,350,0.799086758,6.08221891,5.857933154,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.335804296,-1.608059035,-0.467355408,-1.482422306,0.401572094,0.476862,0.988679766,0.335804296,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12461","Rhine_HLN_12461_2012",2012,7.810822313,50.0361053,2.499677211,0.249967721,10,440,272,0.618181818,6.086774727,5.605802066,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.335804296,-1.608059035,-0.467355408,-1.482422306,0.416487485,0.533779,0.981767948,0.335804296,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12461","Rhine_HLN_12461_2015",2015,7.810822313,50.0361053,2.026886565,0.155914351,13,622,424,0.681672026,6.432940093,6.049733455,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.335804296,-1.608059035,-0.467355408,-1.482422306,0.409418756,0.563244,0.991391131,0.335804296,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12461","Rhine_HLN_12461_2021",2021,7.810822313,50.0361053,2.835830441,0.218140803,13,692,348,0.502890173,6.539585956,5.85220248,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.335804296,-1.608059035,-0.467355408,-1.482422306,0.405493754,0.423319,0.956435852,0.335804296,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12463","Rhine_HLN_12463_2009",2009,8.366331863,49.6639667,7.43289273,0.371644637,20,342,88,0.257309942,5.834810737,4.477336814,"7",-1.683519896,-0.708296534,-0.502062933,0.402234834,-0.802353779,-1.466828221,-1.075208225,0.120992535,0.71300082,0.328406,0.811459534,0.802353779,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12463","Rhine_HLN_12463_2012",2012,8.366331863,49.6639667,3.064933463,0.191558341,16,417,253,0.606714628,6.033086222,5.533389489,"7",-1.683519896,-0.708296534,-0.502062933,0.402234834,-0.802353779,-1.466828221,-1.075208225,0.120992535,0.312908767,0.509298,0.94798306,0.802353779,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12463","Rhine_HLN_12463_2021",2021,8.366331863,49.6639667,3.321487151,0.553581192,6,135,92,0.681481481,4.905274778,4.521788577,"7",-1.683519896,-0.708296534,-0.502062933,0.402234834,-0.802353779,-1.466828221,-1.075208225,0.120992535,0.172557336,0.209627,0.777900105,0.802353779,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12465","Rhine_HLN_12465_2009",2009,8.263266908,50.01893713,2.672973475,0.267297348,10,1498,1294,0.863818425,7.311886164,7.165493475,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.397051921,-1.608059035,-2.277732354,1.607220465,0.414551264,0.247536,0.993917552,0.397051921,3.404549781,-0.494037768
