"","Abramis.brama","Acipenser.ruthenus","Alburnoides.bipunctatus","Alburnus.alburnus","Alosa.alosa","Alosa.fallax","Ambloplites.rupestris","Anguilla.anguilla","Aspius.aspius","Atherina.presbyter","Ballerus.sapa","Barbatula.barbatula","Barbus.barbus","Barbus.meridionalis","Benthophiloides.brauneri","Blicca.bjoerkna","Carassius.carassius","Chondrostoma.nasus","Cobitis.elongatoides","Cobitis.taenia","Coregonus.lavaretus","Coregonus.maraena","Coregonus.oxyrinchus","Coregonus.peled","Cottus.gobio","Cottus.poecilopus","Ctenopharyngodon.idella","Cyprinus.carpio","Dicentrarchus.labrax","Esox.lucius","Eudontomyzon.mariae","Gasterosteus.aculeatus","Gobio.gobio","Gymnocephalus.baloni","Gymnocephalus.cernua","Gymnocephalus.schraetser","Hucho.hucho","Hypophthalmichthys.molitrix","Knipowitschia.caucasica","Lampetra.fluviatilis","Lampetra.planeri","Lepomis.gibbosus","Leucaspius.delineatus","Leuciscus.idus","Leuciscus.leuciscus","Lota.lota","Misgurnus.fossilis","Mugil.cephalus","Neogobius.fluviatilis","Neogobius.gymnotrachelus","Neogobius.kessleri","Neogobius.melanostomus","Oncorhynchus.mykiss","Osmerus.eperlanus","Pelecus.cultratus","Perca.fluviatilis","Petromyzon.marinus","Phoxinus.phoxinus","Platichthys.flesus","Pleuronectes.platessa","Proterorhinus.semilunaris","Pseudorasbora.parva","Pungitius.pungitius","Rhodeus.amarus","Rutilus.pigus","Rutilus.rutilus","Sabanejewia.aurata","Sabanejewia.balcanica","Salmo.salar","Salmo.trutta.fario","Salmo.trutta.lacustris","Salmo.trutta.trutta","Salvelinus.alpinus","Salvelinus.fontinalis","Sander.lucioperca","Sander.volgensis","Scardinius.erythrophthalmus","Silurus.glanis","Squalius.cephalus","Syngnathus.abaster","Thymallus.thymallus","Tinca.tinca","Umbra.pygmaea","Vimba.vimba","Zingel.asper","Zingel.streber","Zingel.zingel"
"Seine_100000752",0,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,11,0,0,6,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,209,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seine_100000753",0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,3,0,0,3,0,64,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seine_100000754",0,0,0,60,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,259,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Seine_100000755",1,0,0,73,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Seine_100000805",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,3,0,0,43,0,1,0,0,0,0,13,5,0,169,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Seine_100000807",9,0,0,88,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,73,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0
"Seine_100000813",2,0,0,7,0,0,0,8,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,2,0,328,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5,0,0,0,0,0
"Seine_100000814",1,0,0,34,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,12,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Seine_100000837",2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,1,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
"Seine_100000839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
