station.x,SUB_AREA,UP_AREA,layer
Seine_3156000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3156000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3156000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3156000,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3156000,841.6,7892.5,hybas_eu_lev07_v1c
Seine_3152000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3152000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3152000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3152000,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3152000,3366.6,5572.6,hybas_eu_lev07_v1c
Seine_3138000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3138000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3138000,1507.0,16782.5,hybas_eu_lev07_v1c
Seine_3138000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3138000,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3134000,1521.0,14034.7,hybas_eu_lev07_v1c
Seine_3134000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3134000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3134000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3134000,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3136000,1521.0,14034.7,hybas_eu_lev07_v1c
Seine_3136000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3136000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3136000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3136000,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3029000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3029000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3029000,10789.4,10789.6,hybas_eu_lev07_v1c
Seine_3029000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3029000,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3032000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3032000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3032000,10789.4,10789.6,hybas_eu_lev07_v1c
Seine_3032000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3032000,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3112480,7203.8,12783.1,hybas_eu_lev07_v1c
Seine_3112480,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3112480,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3112480,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3112480,7203.8,12783.1,hybas_eu_lev06_v1c
Seine_3109000,7203.8,12783.1,hybas_eu_lev07_v1c
Seine_3109000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3109000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3109000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3109000,7203.8,12783.1,hybas_eu_lev06_v1c
Seine_3105500,7203.8,12783.1,hybas_eu_lev07_v1c
Seine_3105500,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3105500,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3105500,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3105500,7203.8,12783.1,hybas_eu_lev06_v1c
Seine_3063000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3063000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3063000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3063000,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3063000,2200.5,30654.8,hybas_eu_lev07_v1c
Seine_3084470,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3084470,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3084470,1088.5,44526.2,hybas_eu_lev07_v1c
Seine_3084470,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3084470,1088.5,44526.2,hybas_eu_lev06_v1c
Seine_3014000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3014000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3014000,1671.8,10268.4,hybas_eu_lev07_v1c
Seine_3014000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3014000,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3125000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3125000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3125000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3125000,4079.0,65387.8,hybas_eu_lev07_v1c
Seine_3125000,4079.0,65387.8,hybas_eu_lev06_v1c
Seine_3048000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3048000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3048000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3048000,30654.0,30654.8,hybas_eu_lev06_v1c
Seine_3048000,1199.6,26496.1,hybas_eu_lev07_v1c
Seine_3082000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3082000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3082000,1088.5,44526.2,hybas_eu_lev07_v1c
Seine_3082000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3082000,1088.5,44526.2,hybas_eu_lev06_v1c
Seine_3149081,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3149081,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3149081,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3149081,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3149081,3366.6,5572.6,hybas_eu_lev07_v1c
Seine_3149630,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3149630,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3149630,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3149630,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3149630,3366.6,5572.6,hybas_eu_lev07_v1c
Seine_3133000,73248.2,73249.2,hybas_eu_lev05_v1c
Seine_3133000,73248.2,73249.2,hybas_eu_lev04_v1c
Seine_3133000,832972.7,832972.7,hybas_eu_lev03_v1c
Seine_3133000,16783.0,16783.0,hybas_eu_lev06_v1c
Seine_3133000,4621.3,4621.5,hybas_eu_lev07_v1c
Seine_3131000,73248.2,73249.2,hybas_eu_lev05_v1c
