"","Feeding","Habitat","Migration","Reproduction","Rheophily","Sensitivity","FRI","S2FRI"
"Abramis.brama","omnivorous","benthic","potamodromous","phytolithophil","eurytop",3.36,7,0.55
"Acipenser.ruthenus","invertivorous","demersal","potamodromous","lithophil","rheophil",4.36,7,0.55
"Alburnoides.bipunctatus","invertivorous","benthic","potamodromous","lithophil","rheophil",1.93,5.42,0.45
"Alburnus.alburnus","omnivorous","benthic","potamodromous","phytolithophil","eurytop",2.14,6.58,0.63
"Alosa.alosa","planktivorous","pelagic","diadromous","lithopelagophil","rheophil",3.71,7,0.73
"Alosa.fallax","planktivorous","pelagic","diadromous","lithopelagophil","rheophil",3.71,7.75,0.2
"Ambloplites.rupestris","omnivorous","demersal","non migratory","polyphil","limnophil",2.79,6.83,0.33
"Anguilla.anguilla","omnivorous","demersal","diadromous","pelagophil","eurytop",4.57,6.67,1.7
"Aspius.aspius","piscivorous","benthic","potamodromous","lithophil","eurytop",3.86,6.75,0.39
"Atherina.presbyter","invertivorous","pelagic","diadromous","phytophil","limnophil",2.07,7.83,0.15
"Ballerus.sapa","invertivorous","benthic","potamodromous","lithophil","rheophil",4.07,6.75,0.39
"Barbatula.barbatula","invertivorous","demersal","potamodromous","psammophil","rheophil",1.93,5.25,0.93
"Barbus.barbus","invertivorous","benthic","potamodromous","lithophil","rheophil",4.5,6.08,0.45
"Barbus.meridionalis","invertivorous","benthic","non migratory","lithophil","rheophil",2.36,5,0.36
"Benthophiloides.brauneri","omnivorous","demersal","non migratory","psammophil","limnophil",2.9,7.42,0.27
"Blicca.bjoerkna","omnivorous","demersal","potamodromous","phytophil","eurytop",2.86,7,0.55
"Carassius.carassius","omnivorous","demersal","potamodromous","phytophil","limnophil",2.79,6.92,0.27
"Chondrostoma.nasus","omnivorous","benthic","potamodromous","lithophil","rheophil",3.79,5.67,0.61
"Cobitis.elongatoides","invertivorous","demersal","non migratory","phytophil","rheophil",2,6.25,1.3
"Cobitis.taenia","invertivorous","benthic","potamodromous","phytophil","rheophil",2.21,6.5,0.64
"Coregonus.lavaretus","planktivorous","demersal","diadromous","lithophil","limnophil",4.71,7.33,0.42
"Coregonus.maraena","planktivorous","demersal","diadromous","lithophil","limnophil",4.71,7.33,0.42
"Coregonus.oxyrinchus","invertivorous","demersal","diadromous","lithophil","rheophil",4.71,7.25,0.39
"Coregonus.peled","planktivorous","demersal","diadromous","lithophil","limnophil",4.71,7.33,0.42
"Cottus.gobio","invertivorous","demersal","non migratory","speleophil","rheophil",2.71,4.17,1.24
"Cottus.poecilopus","invertivorous","demersal","non migratory","speleophil","rheophil",2.93,4.42,0.99
"Ctenopharyngodon.idella","phytovorous","demersal","potamodromous","lithophil","eurytop",3.86,7.17,0.15
"Cyprinus.carpio","omnivorous","benthic","potamodromous","phytophil","eurytop",3.57,7,0.36
"Dicentrarchus.labrax","piscivorous","demersal","diadromous","pelagophil","rheophil",4.5,7.83,0.15
"Esox.lucius","piscivorous","demersal","potamodromous","phytophil","eurytop",3,6.58,0.99
"Eudontomyzon.mariae","detritivorous","demersal","potamodromous","lithophil","eurytop",2.36,5.33,1.15
"Gasterosteus.aculeatus","omnivorous","benthic","potamodromous","phytophil","eurytop",2,7.17,1.06
"Gobio.gobio","invertivorous","benthic","potamodromous","polyphil","rheophil",2.36,5.83,1.24
"Gymnocephalus.baloni","omnivorous","benthic","non migratory","phytolithophil","rheophil",2,6.92,0.45
