"","Saprobity_xenosaprobic","Saprobity_oligosaprobic","Saprobity_beta.mesosaprobic","Saprobity_alpha.mesosaprobic","Saprobity_polysaprobic","Substrate_flags_boulders_cobbles_pebbles","Substrate_gravel","Substrate_sand","Substrate_silt","Substrate_macrophytes","Substrate_microphytes","Substrate_twigs_roots","Substrate_organic_detritus_litter","Substrate_mud","Dispersal_aquatic_passive","Dispersal_aquatic_active","Dispersal_aerial_passive","Dispersal_aerial_active","Loco_flier","Loco_surface_swimmer","Loco_full_water_swimmer","Loco_crawler","Loco_burrower","Loco_interstitial","Loco_temporarily_attached","Loco_permanently_attached","Reproduction_ovoviviparity","Reproduction_eggs.free","Reproduction_eggs.cemented","Reproduction_clutches.fixed","Reproduction_clutches.free","Reproduction_clutches.vegetation","Reproduction_clutches.terrestrial","Reproduction_asexual"
"Acentrella",1,3,1,0,0,3,0,0,0,0,0,0,0,0,2,1,1,2,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0
"Acentria",0,1,3,1,0,0,0,0,0,4,0,0,1,0,0,2,0,2,0,0,1,3,0,0,2,0,0,0,0,3,0,0,0,0
"Acilius",0,0,1,2,0,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Acroloxus",0,1,2,2,0,1,0,0,0,5,2,0,2,3,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0
"Adicella",2,3,2,0,0,2,0,0,0,3,0,2,0,0,1,1,1,2,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Agabus",0,3,3,2,0,0,1,1,1,3,0,0,3,3,1,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,1,0,0
"Agapetus",2,3,3,0,0,5,2,1,0,1,0,0,1,0,1,2,1,1,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0
"Agraylea",0,1,3,3,0,1,0,1,0,5,1,2,1,1,1,1,1,1,0,0,1,3,0,0,1,0,0,0,0,3,0,0,0,0
"Agriotypus",0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,3,0,0,3,0,0,0,0,0
"Agrypnia",0,3,3,0,0,2,0,0,0,3,0,2,2,0,1,3,1,2,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Allogamus",2,3,2,1,0,3,2,0,0,0,0,0,3,1,0,2,0,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
"Allotrichia",0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0
"Amphinemura",1,3,1,0,0,3,0,0,0,4,0,0,2,0,2,2,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
"Anabolia",0,1,3,1,0,3,0,2,0,5,0,0,1,0,3,2,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Anacaena",0,0,1,2,0,0,0,0,0,3,3,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Anax",0,1,3,1,0,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,3,2,0
"Ancylus",1,2,2,2,0,5,4,0,0,2,2,1,0,0,2,1,1,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0
"Anisus",0,1,3,1,0,3,1,0,0,5,1,0,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Anodonta",0,1,2,2,0,0,2,5,4,2,0,0,0,4,3,1,2,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0
"Anopheles",0,1,3,2,2,0,0,0,0,3,1,0,1,0,0,0,2,3,0,4,1,0,0,0,0,0,0,3,0,0,1,0,0,0
"Aphelocheirus",0,1,2,0,0,5,3,1,1,3,0,1,1,0,3,3,0,0,0,0,2,3,3,0,0,0,0,0,3,0,0,0,0,0
"Aplexa",0,2,3,0,0,3,1,0,0,4,1,0,2,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Arctocorisa",0,3,0,0,0,0,0,0,2,2,0,2,0,0,0,2,0,2,1,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0
"Armiger",0,0,3,0,0,0,0,0,0,4,0,1,1,0,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Asellus",0,0,2,3,1,1,1,1,0,5,3,2,3,1,3,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,0,0,0,0
"Astacus",0,1,2,1,0,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,4,2,0,0,0,3,0,0,2,0,0,0,0
"Atherix",1,2,3,1,0,4,2,0,0,4,0,1,1,1,0,1,0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,3,0
"Athripsodes",0,1,3,1,0,4,2,1,1,2,0,3,1,1,2,1,1,3,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Atrichops",0,1,3,0,0,0,1,4,2,0,0,0,0,2,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Atyaephyra",0,1,3,1,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0
