study,station.x,operatn,year,X,Y,Tax_Div,Tax_Even,Tax_Rich,logab,logabI,Strahler,Catchment6_size,Ships,Ports,Locks,Channelization,Rip_Deg,Urban_new,Agriculture_new,fric_new,feve_new,fdiv_new,ports_5k,locks_5k
BelgianH,BelgianH_122050,BelgianH_122050_1994_21423803,1994,5.821,51.129,5.804260219,0.362766264,16,4.96284463,2.63905733,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.078013389,0.371825,0.547846944,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_1995_250926,1995,5.821,51.129,3.919107919,0.195955396,20,5.666426688,3.135494216,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.169781154,0.608265,0.421473819,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_1996_324843,1996,5.821,51.129,13.74230431,0.572596013,24,4.836281907,3.135494216,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.223587843,0.514792,0.542745513,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_1997_982110,1997,5.821,51.129,7.449612403,0.496640827,15,4.143134726,2.48490665,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.144357166,0.676198,0.601900337,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_1998_21423624,1998,5.821,51.129,8.560185185,0.713348765,12,4.465908119,2.48490665,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.031373437,0.576495,0.634602303,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_1998_21423625,1998,5.821,51.129,14.20077595,0.54618369,26,4.804021045,2.63905733,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.242843023,0.541195,0.594338347,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_1999_11023368,1999,5.821,51.129,7.065217391,0.371853547,19,4.875197323,2.944438979,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.083596878,0.563862,0.548774899,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_2000_21034149,2000,5.821,51.129,9.683478147,0.537971008,18,5.955837369,3.135494216,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.136796954,0.453166,0.754522109,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_2000_21043524,2000,5.821,51.129,4.722891566,0.429353779,11,3.36729583,2.564949357,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.040083662,0.792148,0.895912952,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_2001_21057039,2001,5.821,51.129,5.961153133,0.331175174,18,6.126869184,3.80666249,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.182789467,0.567186,0.577628975,1.207217158,0.169240002
BelgianH,BelgianH_122050,BelgianH_122050_2003_21129943,2003,5.821,51.129,6.420316869,0.428021125,15,4.430816799,2.302585093,6,1.599819171,0.217954942,0.435734609,0.258917989,0.026994309,-0.221141006,-0.517257141,0.712093868,0.128051401,0.644788,0.628802579,1.207217158,0.169240002
